mcid,movie_id,company_id,ctype,note
7872,8643,1838,production,
7873,8643,3287,production,
7874,10402,2608,production,
7875,10402,6370,production,
7876,10402,9195,production,
7877,218043,16558,production,
7878,9043,711,production,
7879,21301,8411,production,
7880,10147,5,production,
7881,10147,14722,production,
7882,10147,71989,production,
7883,816,12,production,
7884,816,594,production,
7885,816,595,production,
7886,302688,33,production,
7887,302688,4171,production,
7888,302688,7429,production,
7889,302688,12026,production,
7890,60307,711,production,
7891,60307,5420,production,
7892,106,306,production,
7893,106,840,production,
7894,106,1302,production,
7895,106,1885,production,
7896,106,5263,production,
7897,106,5264,production,
7898,279,6194,production,
7899,8617,2514,production,
7900,10625,4,production,
7901,10625,1756,production,
7902,10625,89094,production,
7903,10934,679,production,
7904,10934,3983,production,
7905,10934,9195,production,
7906,10934,12207,production,
7907,5279,987,production,
7908,10013,70,production,
7909,10013,559,production,
7910,194662,9015,production,
7911,194662,10104,production,
7912,194662,22213,production,
7913,194662,47169,production,
7914,194662,52660,production,
7915,160588,12966,production,
7916,9829,33,production,
7917,9829,694,production,
7918,9829,737,production,
7919,9829,10163,production,
7920,10028,33,production,
7921,10028,2527,production,
7922,10028,41963,production,
7923,10535,915,production,
7924,790,494,production,
7925,790,495,production,
7926,790,498,production,
7927,43959,551,production,
7928,43959,559,production,
7929,43959,3235,production,
7930,43959,7263,production,
7931,43959,10156,production,
7932,10364,4,production,
7933,10364,73862,production,
7934,16991,923,production,
7935,16991,2609,production,
7936,9610,499,production,
7937,1578,60,production,
7938,25643,33,production,
7939,25643,4403,production,
7940,25643,4404,production,
7941,25643,7295,production,
7942,25643,7419,production,
7943,25643,11953,production,
7944,11904,4,production,
7945,11904,56,production,
7946,28665,60,production,
7947,28665,126,production,
7948,28665,8411,production,
7949,44115,43,production,
7950,44115,6194,production,
7951,44115,6708,production,
7952,44115,7981,production,
7953,44115,9349,production,
7954,44115,10892,production,
7955,44115,20076,production,
7956,10569,27,production,
7957,10560,5,production,
7958,333348,23,production,
7959,333348,4205,production,
7960,333348,5490,production,
7961,20483,711,production,
7962,20483,1757,production,
7963,20483,11672,production,
7964,20483,19352,production,
7965,20483,23790,production,
7966,11457,12,production,
7967,321697,33,production,
7968,321697,258,production,
7969,321697,923,production,
7970,321697,1557,production,
7971,321697,4220,production,
7972,321697,6708,production,
7973,19840,289,production,
7974,19840,436,production,
7975,19840,2890,production,
7976,19840,6332,production,
7977,19840,11755,production,
7978,22327,7405,production,
7979,38665,1584,production,
7980,2575,5,production,
7981,2575,3201,production,
7982,11644,1819,production,
7983,146227,1786,production,
7984,146227,2982,production,
7985,146227,3608,production,
7986,146227,12075,production,
7987,146227,19719,production,
7988,146227,28176,production,
7989,146227,36109,production,
7990,146227,68548,production,
7991,146227,68549,production,
7992,146227,68550,production,
7993,68924,43,production,
7994,68924,10565,production,
7995,68924,53473,production,
7996,253235,97,production,
7997,253235,31832,production,
7998,253235,32245,production,
7999,22102,5,production,
8000,22102,6313,production,
8001,18701,805,production,
8002,10068,8411,production,
8003,10068,11670,production,
8004,10068,22297,production,
8005,10068,22298,production,
8006,10068,22299,production,
8007,848,4,production,
8008,848,3166,production,
8009,36811,16923,production,
8010,36811,44224,production,
8011,522,9195,production,
8012,130150,2130,production,
8013,130150,9350,production,
8014,130150,32157,production,
8015,12246,886,production,
8016,12246,1972,production,
8017,12246,11996,production,
8018,12246,16522,production,
8019,12246,16524,production,
8020,13809,694,production,
8021,13809,1786,production,
8022,13809,2900,production,
8023,13809,6194,production,
8024,27380,2521,production,
8025,27380,16379,production,
8026,10549,97,production,
8027,10549,6189,production,
8028,33870,2814,production,
8029,245703,6194,production,
8030,245703,19246,production,
8031,245703,50914,production,
8032,10739,27,production,
8033,10739,247,production,
8034,10739,291,production,
8035,10739,5358,production,
8036,127560,1471,production,
8037,127560,1632,production,
8038,127560,3207,production,
8039,127560,12075,production,
8040,127560,15577,production,
8041,127560,15578,production,
8042,37903,223,production,
8043,37903,224,production,
8044,37903,779,production,
8045,37903,1972,production,
8046,10017,10165,production,
8047,10017,10166,production,
8048,10017,59346,production,
8049,11468,97,production,
8050,11468,3982,production,
8051,193613,11448,production,
8052,193613,11486,production,
8053,17436,3319,production,
8054,43434,2254,production,
8055,43434,5358,production,
8056,43434,6111,production,
8057,43434,11394,production,
