movie_id,title,release
7364,Sahara,2005
2114,Final Fantasy: The Spirits Within,2001
1771,Captain America: The First Avenger,2011
36643,The World Is Not Enough,1999
8619,Master and Commander: The Far Side of the World,2003
50620,The Twilight Saga: Breaking Dawn - Part 2,2012
65759,Happy Feet Two,2011
1724,The Incredible Hulk,2008
267935,The BFG,2016
281957,The Revenant,2015
77950,Turbo,2013
44896,Rango,2011
270946,Penguins of Madagascar,2014
2503,The Bourne Ultimatum,2007
9502,Kung Fu Panda,2008
102899,Ant-Man,2015
101299,The Hunger Games: Catching Fire,2013
228161,Home,2015
74,War of the Worlds,2005
8961,Bad Boys II,2003
417859,Puss in Boots,2011
27576,Salt,2010
86834,Noah,2014
17578,The Adventures of Tintin,2011
673,Harry Potter and the Prisoner of Azkaban,2004
6972,Australia,2008
82700,After Earth,2013
10567,Dinosaur,2000
181533,Night at the Museum: Secret of the Tomb,2014
38055,Megamind,2010
671,Harry Potter and the Philosopher's Stone,2001
49524,R.I.P.D.,2013
22,Pirates of the Caribbean: The Curse of the Black Pearl,2003
131631,The Hunger Games: Mockingjay - Part 1,2014
591,The Da Vinci Code,2006
172385,Rio 2,2014
36658,X2,2003
51497,Fast Five,2011
58574,Sherlock Holmes: A Game of Shadows,2011
18823,Clash of the Titans,2010
861,Total Recall,1990
1911,The 13th Warrior,1999
49040,The Bourne Legacy,2012
415,Batman & Robin,1997
8871,How the Grinch Stole Christmas,2000
435,The Day After Tomorrow,2004
955,Mission: Impossible II,2000
2133,The Perfect Storm,2000
1979,Fantastic 4: Rise of the Silver Surfer,2007
87827,Life of Pi,2012
1250,Ghost Rider,2007
324668,Jason Bourne,2016
9471,Charlie's Angels: Full Throttle,2003
70981,Prometheus,2012
10996,Stuart Little 2,2002
68724,Elysium,2013
2789,The Chronicles of Riddick,2004
97020,RoboCop,2014
7459,Speed Racer,2008
42888,How Do You Know,2010
37834,Knight and Day,2010
75612,Oblivion,2013
1895,Star Wars: Episode III - Revenge of the Sith,2005
1894,Star Wars: Episode II - Attack of the Clones,2002
585,"Monsters, Inc.",2001
76170,The Wolverine,2013
1893,Star Wars: Episode I - The Phantom Menace,1999
49519,The Croods,2013
2395,Asterix at the Olympic Games,2008
12100,Windtalkers,2002
290595,The Huntsman: Winter's War,2016
98566,Teenage Mutant Ninja Turtles,2014
49047,Gravity,2013
9619,Dante's Peak,1997
308531,Teenage Mutant Ninja Turtles: Out of the Shadows,2016
166424,Fantastic Four,2015
1593,Night at the Museum,2006
254128,San Andreas,2015
714,Tomorrow Never Dies,1997
2024,The Patriot,2000
163,Ocean's Twelve,2004
787,Mr. & Mrs. Smith,2005
262500,Insurgent,2015
2567,The Aviator,2004
38745,Gulliver's Travels,2010
40805,The Green Hornet,2011
53182,300: Rise of an Empire,2014
41513,The Smurfs,2011
13700,Home on the Range,2004
262504,Allegiant,2016
39254,Real Steel,2011
77931,The Smurfs 2,2013
1639,Speed 2: Cruise Control,1997
80274,Ender's Game,2013
1571,Live Free or Die Hard,2007
120,The Lord of the Rings: The Fellowship of the Ring,2001
10204,Around the World in 80 Days,2004
8489,Ali,2001
10588,The Cat in the Hat,2003
2048,"I, Robot",2004
1495,Kingdom of Heaven,2005
10137,Stuart Little,1999
10198,The Princess and the Frog,2009
286217,The Martian,2015
1635,The Island,2005
24113,Town & Country,2001
9679,Gone in Sixty Seconds,2000
98,Gladiator,2000
180,Minority Report,2002
672,Harry Potter and the Chamber of Secrets,2002
36557,Casino Royale,2006
869,Planet of the Apes,2001
280,Terminator 2: Judgment Day,1991
11322,Public Enemies,2009
4982,American Gangster,2007
36955,True Lies,1994
18487,The Taking of Pelham 1 2 3,2009
39451,Little Fockers,2010
27581,The Other Guys,2010
9268,Eraser,1996
68718,Django Unchained,2012
10545,The Hunchback of Notre Dame,1996
11688,The Emperor's New Groove,2000
76163,The Expendables 2,2012
2059,National Treasure,2004
2486,Eragon,2006
16523,Where the Wild Things Are,2009
116711,Epic,2013
37710,The Tourist,2010
9946,End of Days,1999
1372,Blood Diamond,2006
106646,The Wolf of Wall Street,2013
414,Batman Forever,1995
563,Starship Troopers,1997
83542,Cloud Atlas,2012
41216,Legend of the Guardians: The Owls of Ga'Hoole,2010
314,Catwoman,2004
184315,Hercules,2014
9016,Treasure Planet,2002
18162,Land of the Lost,2009
138103,The Expendables 3,2014
257088,Point Break,2015
10214,Son of the Mask,2005
