cast_id,cast_name,cast_gender
5529,Anna Popplewell,1
5527,Skandar Keynes,2
5526,Georgie Henley,1
2166,Sergio Castellitto,2
25132,Alicia Borrachero,1
22970,Peter Dinklage,2
25133,Vincent Grass,2
17839,Pierfrancesco Favino,2
7370,Damiu00e1n Alcu00e1zar,2
24496,Simu00f3n Andreu,2
12044,Predrag Bjelac,2
25134,Shane Rangi,2
25135,Cornell John,2
25136,Ken Stott,2
3063,Tilda Swinton,1
1926,Eddie Izzard,2
107943,Klu00e1ra Issovu00e1,1
2888,Will Smith,2
2176,Tommy Lee Jones,2
72873,Michael Stuhlbarg,2
7056,Emma Thompson,1
55936,Jemaine Clement,0
151246,Nicole Scherzinger,1
59860,Alice Eve,1
19278,Bill Hader,2
87070,Michael Chernus,2
33533,David Rasche,2
91387,Keone Young,2
1068400,Cayen Martin,2
450,Mike Colter,2
1506488,Mela Hudson,1
21200,Will Arnett,2
1671443,Kelvin Davis,2
1152008,Dan Bittner,0
7060,Martin Freeman,2
1327,Ian McKellen,2
30315,Richard Armitage,2
95047,Graham McTavish,2
67123,William Kircher,2
34715,James Nesbitt,2
1193834,Stephen Hunter,0
152566,Dean O'Gorman,2
207558,Aidan Turner,2
534336,John Callen,2
1193832,Peter Hambleton,0
173451,Jed Brophy,0
81877,Mark Hadlow,2
1193833,Adam Brown,0
114,Orlando Bloom,2
19034,Evangeline Lilly,1
72095,Lee Pace,2
112,Cate Blanchett,1
1331,Hugo Weaving,2
113,Christopher Lee,2
65,Ian Holm,2
52398,Mikael Persbrandt,2
80112,Sylvester McCoy,2
114019,Luke Evans,2
11275,Stephen Fry,2
126667,John Bell,2
60349,Ryan Gage,2
1359824,Peggy Nesbitt,1
1359823,Mary Nesbitt,0
41782,Manu Bennett,2
205406,John Tui,2
9188,Billy Connolly,0
71580,Benedict Cumberbatch,2
15092,Sarah Peirse,1
240024,Nick Blake,0
1440652,Simon London,0
127453,Conan Stevens,0
1484140,Allan Smith,2
1086829,Miranda Harcourt,0
