movie_id,title,release,vote_average,vote_count
944,Lethal Weapon 4,1998,6.3,767
72559,G.I. Joe: Retaliation,2013,5.4,3025
7364,Sahara,2005,5.7,434
2114,Final Fantasy: The Spirits Within,2001,5.9,433
1771,Captain America: The First Avenger,2011,6.6,7047
36643,The World Is Not Enough,1999,6,862
8619,Master and Commander: The Far Side of the World,2003,6.9,790
50620,The Twilight Saga: Breaking Dawn - Part 2,2012,6.1,2553
65759,Happy Feet Two,2011,5.8,373
267935,The BFG,2016,6,1000
281957,The Revenant,2015,7.3,6396
77950,Turbo,2013,6.1,1074
44896,Rango,2011,6.6,2051
270946,Penguins of Madagascar,2014,6.5,1346
2503,The Bourne Ultimatum,2007,7.3,2888
9502,Kung Fu Panda,2008,6.9,3145
102899,Ant-Man,2015,7,5880
101299,The Hunger Games: Catching Fire,2013,7.4,6495
228161,Home,2015,6.8,1519
74,War of the Worlds,2005,6.2,2322
8961,Bad Boys II,2003,6.3,1564
417859,Puss in Boots,2011,6.4,451
27576,Salt,2010,6.2,2093
86834,Noah,2014,5.6,2350
17578,The Adventures of Tintin,2011,6.7,2061
673,Harry Potter and the Prisoner of Azkaban,2004,7.7,5877
6972,Australia,2008,6.3,694
82700,After Earth,2013,5,2532
10567,Dinosaur,2000,6.2,542
181533,Night at the Museum: Secret of the Tomb,2014,6.1,1851
38055,Megamind,2010,6.7,1918
671,Harry Potter and the Philosopher's Stone,2001,7.5,7006
49524,R.I.P.D.,2013,5.4,1260
22,Pirates of the Caribbean: The Curse of the Black Pearl,2003,7.5,6985
131631,The Hunger Games: Mockingjay - Part 1,2014,6.6,5584
591,The Da Vinci Code,2006,6.5,2704
172385,Rio 2,2014,6.3,978
51497,Fast Five,2011,7.1,2438
58574,Sherlock Holmes: A Game of Shadows,2011,7,3886
18823,Clash of the Titans,2010,5.6,2233
861,Total Recall,1990,7.1,1710
1911,The 13th Warrior,1999,6.4,510
49040,The Bourne Legacy,2012,6,2651
8871,How the Grinch Stole Christmas,2000,6.2,1386
435,The Day After Tomorrow,2004,6.2,2392
955,Mission: Impossible II,2000,5.9,1928
1979,Fantastic 4: Rise of the Silver Surfer,2007,5.4,2589
87827,Life of Pi,2012,7.2,5797
1250,Ghost Rider,2007,5.2,1712
324668,Jason Bourne,2016,5.9,2341
9471,Charlie's Angels: Full Throttle,2003,5.2,914
70981,Prometheus,2012,6.3,5080
10996,Stuart Little 2,2002,5.4,613
68724,Elysium,2013,6.4,3439
2789,The Chronicles of Riddick,2004,6.3,1570
97020,RoboCop,2014,5.7,2342
7459,Speed Racer,2008,5.7,354
42888,How Do You Know,2010,4.9,223
37834,Knight and Day,2010,5.9,1547
75612,Oblivion,2013,6.4,4800
