company_id,name,country,imdb_id,name_nf,name_sf,md5
19116,IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG,,19116,IMF INTERNATIONALE MEDIEN UND FILM GMBH & CO. 3. PRODUKTIONS KG,I515,45cb9c100fca06ac17caa90ec491f7df
23636,Mostow/Lieberman Productions,,23636,MOSTOW/LIEBERMAN PRODUCTIONS,M234,bfe9fa46c77dcd3b5a19d5dbc6b89637
54850,Bulletproof Cupid,,54850,BULLETPROOF CUPID,B431,92c6dcfe0c9e4db87207ba88f751f88c
13769,Lynda Obst Productions,,13769,LYNDA OBST PRODUCTIONS,L531,f70008a7d73ec3d5508d92b9f547bfbc
5896,Cine Bazar,,5896,CINE BAZAR,C512,e5ebf6062cde5f16d082997e13210133
49301,Toho Pictures,,49301,TOHO PICTURES,T123,ba26210bd1bfa92a7bf06aa1ed6c72af
26281,Ardustry Entertainment,,26281,ARDUSTRY ENTERTAINMENT,A632,dfe73411334fa58d9e94a04eab3840a1
26282,Mediastream Film GmbH & Co. Productions KG,,26282,MEDIASTREAM FILM GMBH & CO. PRODUCTIONS KG,M323,5ee4b29d8ae89d6ce334bde83b2300b0
7383,"Kennedy/Marshall Company, The",,7383,"KENNEDY/MARSHALL COMPANY, THE",K535,5a31af2789740cc7bc71fa73c67fd17b
6332,Dune Entertainment III,,6332,DUNE ENTERTAINMENT III,D553,444ca1487df3b1658fbda5f54647722d
10893,Big Screen Productions,,10893,BIG SCREEN PRODUCTIONS,B265,ce457d06e6c28ce5f74f2010b3ff184f
1632,Lionsgate,,1632,LIONSGATE,L523,09622493b28189ea0e1b50babf073a20
5420,Color Force,,5420,COLOR FORCE,C461,37166e1f3be7c95ee181c9afd9437164
831,Saturn Films,,831,SATURN FILMS,S365,1802fc546fd15f3ee96066bf3dc14c3c
8000,Broken Road Productions,,8000,BROKEN ROAD PRODUCTIONS,B625,a7d01ebce15ef589eaf3db664a3852c9
19097,Junction Entertainment,,19097,JUNCTION ENTERTAINMENT,J523,339b21adcabb278cb158c6c23c08892f
449,Virtual Studios,,449,VIRTUAL STUDIOS,V634,3df5581f10450a01f56bb4dce7b37f22
1633,Next Entertainment,,1633,NEXT ENTERTAINMENT,N235,b704295ffbc690c256f25a15c781a552
14024,Irwin Allen Productions,,14024,IRWIN ALLEN PRODUCTIONS,I654,44b201cc5c0966c1ff342f0d0376f7a5
18990,Radiant Productions,,18990,RADIANT PRODUCTIONS,R353,d0832e6cdae3d7e60eb61688044c7d29
19943,Synthesis Entertainment,,19943,SYNTHESIS ENTERTAINMENT,S532,7a10eabace941fe3b3cb7167cddff3fd
37455,Legend3D,,37455,LEGEND3D,L253,c2dde4d4d18dc4c622938ebcd7e9b660
16028,Blizzard Entertainment,,16028,BLIZZARD ENTERTAINMENT,B426,4f1b5ccdce003ea6b707bfefd421ad5e
13184,Annapurna Pictures,,13184,ANNAPURNA PICTURES,A516,5569c99ac84aeefa1982ab36d2b23599
711,Fox 2000 Pictures,,711,FOX 2000 PICTURES,F212,fe3af10d85eb3fd40176edd2b567f9ee
9195,Touchstone Pictures,,9195,TOUCHSTONE PICTURES,T223,2736359335461f0356f6a6927703681c
20011,SprocketHeads,,20011,SPROCKETHEADS,S162,8ff728e5568d9d723bc36e2b365ca31a
591,France 3 Cinu00e9ma,,591,FRANCE 3 CINU00E9MA,F652,98c1cec8e37603b9d000172c4c4c5571
866,Pathu00e9 Renn Productions,,866,PATHU00E9 RENN PRODUCTIONS,P365,fd8f0cde52fe7037fd82c139978922d2
4588,Egmond Film & Television,,4588,EGMOND FILM & TELEVISION,E255,5bc39d3a870a486159f4ef65c0427fbe
10926,Pacifica Film,,10926,PACIFICA FILM,P212,d5581e4e3a728244736c811027b1dca4
54997,WR Universal Group,,54997,WR UNIVERSAL GROUP,W651,46e9b4d77732d44dc849440de159adbe
462,Patalex IV Productions Limited,,462,PATALEX IV PRODUCTIONS LIMITED,P342,ee2d7745aca7004af212ef3550808338
433,Weed Road Pictures,,433,WEED ROAD PICTURES,W363,7016dab3759d2dfced6a8430b3d66c1c
675,Forward Pass,,675,FORWARD PASS,F663,49fe4a4075381516b5168f33736d376a
12485,Overbrook Entertainment,,12485,OVERBROOK ENTERTAINMENT,O161,f4671412a6c889a3652028d99b6d2267
28064,Blue Light,,28064,BLUE LIGHT,B442,bff33cf28d621747cd5a8faa12bdb7b8
41756,GH Three,,41756,GH THREE,G360,588a9b58f116e0eaf3a5fe06344912e3
80,The Zanuck Company,,80,THE ZANUCK COMPANY,T252,a80c45cfebed4a94201d3d51d3e14ef1
45778,Plan B Entertainment,,45778,PLAN B ENTERTAINMENT,P451,fd00fd5eae9e52d0bf6384df7a818c7c
55512,Theobald Film Productions,,55512,THEOBALD FILM PRODUCTIONS,T143,ba59ebc8e32df98787ff146df32990f1
19231,Patalex III Productions Limited,,19231,PATALEX III PRODUCTIONS LIMITED,P342,94328568e4d78dfb5b973ac04fd33fd2
436,1492 Pictures,,436,1492 PICTURES,P236,f7429ef6d12d2ce970dbdf808c174ffd
2575,21 Laps Entertainment,,2575,21 LAPS ENTERTAINMENT,L125,1396c91bef7f10130a3631af474f0cad
10224,Museum Canada Productions,,10224,MUSEUM CANADA PRODUCTIONS,M252,8b9cf3f59b83151d1c2a5a587aecded1
9076,Seed Productions,,9076,SEED PRODUCTIONS,S316,dd62be34d8a915d289b16c0df3dc526a
172,NPV Entertainment,,172,NPV ENTERTAINMENT,N153,7cc40b0f69106ca7146ceff10681c966
1885,Silver Pictures,,1885,SILVER PICTURES,S416,700845166f9a29f2e5444cdb6f4785b4
375,Heineken Branded Entertainment,,375,HEINEKEN BRANDED ENTERTAINMENT,H525,5d1b188bd4c6a051666b7db55625df34
2537,Kennedy Miller Productions,,2537,KENNEDY MILLER PRODUCTIONS,K535,417eaf127cb83ffdd536bc8bb1fdf922
5561,Panorama Films,,5561,PANORAMA FILMS,P565,8610ea56ea578d171037b0d3d47e2111
8253,Skylark Productions,,8253,SKYLARK PRODUCTIONS,S462,a4f2bbaff40407277d8dcc7c8969aa0b
3639,Whamaphram Productions,,3639,WHAMAPHRAM PRODUCTIONS,W516,87ca50667eac70da679816eb7408b9d0
3528,Thunder Road Pictures,,3528,THUNDER ROAD PICTURES,T536,24f1a4829631b33567537d7b40c46bf3
24175,Cott Productions,,24175,COTT PRODUCTIONS,C316,234e3bbc1c790163fc693508f75e92c6
24176,"Furia de Titanes II, A.I.E.",,24176,"FURIA DE TITANES II, A.I.E.",F633,d0fe0c3c173a7e41e5105d2799f64af0
9228,Dan Curtis Productions,,9228,DAN CURTIS PRODUCTIONS,D526,705820aec30271ff53dfdd8cd6786f8a
21777,TC Productions,,21777,TC PRODUCTIONS,T216,4c9df099dbd2bd9fbe50b2584fb7903b
69485,Odin,,69485,ODIN,O350,644311b63b607133c989d7c1188467da
520,Pacific Data Images (PDI),,520,PACIFIC DATA IMAGES (PDI),P212,eb7bfe5a56efbddb860e1592d85aa9d0
1903,Columbus 81 Productions,,1903,COLUMBUS 81 PRODUCTIONS,C451,ca71107f9da13783da444d9e034c435e
2348,Nickelodeon Movies,,2348,NICKELODEON MOVIES,N243,3d2014f57cbb77f841cdcab2d8db32ac
8805,Industrial Light & Magic (ILM),,8805,INDUSTRIAL LIGHT & MAGIC (ILM),I532,08bb17c5bc6d65053064c8077183bdca
12236,Blinding Edge Pictures,,12236,BLINDING EDGE PICTURES,B453,b8de5a1b20120c148eda69ada9c85889
44,Cruise/Wagner Productions,,44,CRUISE/WAGNER PRODUCTIONS,C622,8e0d146d2a36ae4d0868c4552327e583
658,MI 3 Film,,658,MI 3 FILM,M145,6773481ca49ca71af93dcb802a7ad6f4
